legacyId,targetArticleId,title,slug,legacyUrl,recommendedScope,recommendedCity,confidence,reason,specialFlag,ownerDecision,ownerCity,ownerNote
40724,cmssu65d60260wsobs81i0icc,Весенние каникулы 2026: чем заняться и куда отправить детей,vesennie-kanikuly-2025-chem-zanyatsya-i-kuda-otpravit-detej,https://mamago.by/vesennie-kanikuly-2025-chem-zanyatsya-i-kuda-otpravit-detej/,UNCLEAR,,MEDIUM,"Spring break activities listicle naming specific venues (VR arena, Disco Park) but geo signals mix Minsk, Molodechno and general Belarus.",MIXED_MINSK_BELARUS,,,
41510,cmssx0ttq043ewsqhyzzcpx7u,Лето 2026: загородный и городской отдых для детей,leto-2026-zagorodnyy-i-gorodskoy-otdyh-dlya-detey,https://mamago.by/leto-2026-zagorodnyy-i-gorodskoy-otdyh-dlya-detey/,UNCLEAR,,MEDIUM,Summer camps roundup explicitly covering both 'загородный и городской' (out-of-town and city) options; empty body limits full assessment.,MIXED_MINSK_BELARUS,,,
62132,cmssu87vb00jews3fk0gbskm1,Любимые места в Гродно и в окрестностях: на машине или автодоме,lyubimye-mesta-v-grodno-i-v-okrestnostyah-na-mashine-ili-avtodome,https://mamago.by/lyubimye-mesta-v-grodno-i-v-okrestnostyah-na-mashine-ili-avtodome/,UNCLEAR,,MEDIUM,"Travel guide to Grodno and surroundings — explicitly about a different Belarusian city, not Minsk; empty body limits full assessment. Owner should decide whether this becomes a national-scope article or needs separate handling.",MIXED_MINSK_BELARUS;OTHER_REVIEW,,,
12256,cmsswsf4e00ymwsqhns6fwv08,Ленивые развлечения или чем заняться на праздники,lenivye-razvlecheniya-ili-chem-zanyatsya-doma-v-ostatok-prazdnikov,https://mamago.by/lenivye-razvlecheniya-ili-chem-zanyatsya-doma-v-ostatok-prazdnikov/,UNCLEAR,,LOW,"Generic 'lazy holiday activities at home' ideas (YouTube, board games); no venue dependency despite a detected Minsk geo tag.",,,,
13288,cmsswtnwj01fiwsqhglz4e7xb,Где оставить ребенка с няней на час,gde-ostavit-rebenka-s-nyaney,https://mamago.by/gde-ostavit-rebenka-s-nyaney/,UNCLEAR,,MEDIUM,"Listicle of specific named childcare venues, but framing ('где оставить ребенка с няней') is a generic parenting need with local examples.",,,,
13873,cmsswtxio01k2wsqh85wv8mw3,Идеи на 8 Марта,idei-na-8-oe-marta,https://mamago.by/idei-na-8-oe-marta/,UNCLEAR,,LOW,Generic March 8th gift-idea packages; no clear venue dependency evident in the excerpt despite a detected Minsk geo tag.,,,,
16094,cmsswu7p001oawsqhlbkwoae1,День рождения ребенка 8 лет. Сколько стоит?,den-rozhdeniya-rebenka-8-let-skolko-stoit,https://mamago.by/den-rozhdeniya-rebenka-8-let-skolko-stoit/,UNCLEAR,,MEDIUM,Personal birthday cost breakdown; genre matches Minsk venue reviews but no explicit venue/city named in this excerpt.,,,,
16810,cmsswu9hl01p2wsqhuhw8esqw,Выпускной в детском саду или школе. Где отметить?,vypusknoy-v-detskom-sadu-ili-shkole-gde-otmetit,https://mamago.by/vypusknoy-v-detskom-sadu-ili-shkole-gde-otmetit/,UNCLEAR,,LOW,Graduation party venue listicle with named clubs; empty body and a Ratomka geo signal (a Minsk-area village) limit confident assessment.,,,,
19119,cmssww3vh02cewsqhng38x353,Беседки для дня рождения на природе,besedki-dlya-dnya-rozhdeniya-na-prirode,https://mamago.by/besedki-dlya-dnya-rozhdeniya-na-prirode/,UNCLEAR,,MEDIUM,"Listicle of specific named gazebo/venue rentals, but locations are countryside resorts rather than clearly Minsk-city venues.",,,,
19544,cmsswwl2h02hawsqhihzdus4q,Чем заняться в большие выходные,chem-zanyatsya-v-bolshie-vyhodnye,https://mamago.by/chem-zanyatsya-v-bolshie-vyhodnye/,UNCLEAR,,LOW,"Generic long-weekend activity ideas; mentions specific venues (Grill Manero, boat rentals) suggesting Minsk but framing is a broad 'ideas' listicle.",,,,
57731,cmssu7zcc00gaws3fajuidjvc,Уютные каникулы всей семьей: чем заняться и как провести зимние вечера дома,uyutnye-kanikuly-vsej-semej-chem-zanyatsya-i-kak-provesti-zimnie-vechera-doma,https://mamago.by/uyutnye-kanikuly-vsej-semej-chem-zanyatsya-i-kak-provesti-zimnie-vechera-doma/,UNCLEAR,,LOW,"Cozy family evening ideas (board games); no explicit venue/city dependency, and empty body limits assessment.",,,,
10679,cmsswqy2z00fiwsqho3t29ycu,Ракета «Пуговка 3.0» запущена покорять космос,raketa-pugovka-3-0-zapushhena-pokorjat-kosmos,https://mamago.by/raketa-pugovka-3-0-zapushhena-pokorjat-kosmos/,CITY_MINSK,minsk,MEDIUM,"Opening recap of a specific named local kids' club chain ('Пуговка') branch; content-relation evidence links to Places records, but city is unresolved by the automated audit.",OTHER_REVIEW,,,
18687,cmsswvq74026uwsqh1jmudctg,Пасха 2025 в Беларуси: гайд от команды mamaGo,pasha-2025,https://mamago.by/pasha-2025/,GLOBAL,,MEDIUM,"Title says 'в Беларуси' (nationwide); Easter guide content (traditions, recipes, kids activities) is largely generic/national in this excerpt.",MIXED_MINSK_BELARUS,,,
19199,cmsswwknb02gywsqhn4fa6wpt,Самая большая ЧЕТВЁРТАЯ «Пуговка» Центр,samaya-bolshaya-chetvyortaya-pugovka-centr,https://mamago.by/samaya-bolshaya-chetvyortaya-pugovka-centr/,CITY_MINSK,minsk,MEDIUM,"Opening recap of a specific venue chain branch ('Пуговка') at a Minsk address (ул.Тимирязева, 10).",OTHER_REVIEW,,,
19826,cmsswwr0602juwsqhtptg7e83,Празднуем окончание учебного года всей семьей,prazdnuem-okonchanie-uchebnogo-goda-vsey-semey,https://mamago.by/prazdnuem-okonchanie-uchebnogo-goda-vsey-semey/,CITY_MINSK,minsk,MEDIUM,"End-of-school-year activity listicle naming a specific Minsk venue (Футбольный манеж, пр-т Победителей) though geo signals also include Ratomka/Marina Gorka.",MIXED_MINSK_BELARUS,,,
24772,cmssu0wf000aswsobelwjw5zw,Детская зона MamaGo на фестивале Pets Fest,detskaya-zona-mamago-na-festivale-pets-fest,https://mamago.by/detskaya-zona-mamago-na-festivale-pets-fest/,CITY_MINSK,minsk,MEDIUM,"MamaGo's own event booth recap at Lakeside Park, a specific Minsk-area venue; local but a recap/thank-you post rather than a guide.",OTHER_REVIEW,,,
32082,cmssu353d01bcwsobmf4le7hz,Детская зона MamaGo на фестивале огня Феникс,detskaya-zona-mamago-na-festivale-ognya-feniks,https://mamago.by/detskaya-zona-mamago-na-festivale-ognya-feniks/,CITY_MINSK,minsk,MEDIUM,MamaGo's own event booth recap at Minsk's Botanical Garden; local but a recap post.,OTHER_REVIEW,,,
33899,cmssu3i7401gcwsobb2h2nsfn,Новогодний гайд: куда пойти на зимних каникулах и где отметить Новый год с детьми,novogodnij-gajd-kuda-pojti-na-zimnih-kanikulah-i-gde-otmetit-novyj-god-s-detmi,https://mamago.by/novogodniy-gayd-kuda-poyti-na-zimnih-kanikulah-i-gde-otmetit-novyy-god-s-detmi/,CITY_MINSK,minsk,MEDIUM,"New Year guide listing specific Minsk landmarks (ГУМ department store, Коммунарка) though title doesn't name the city.",SOFT_SLUG_MISMATCH,,,
49590,cmssx23bl04kqwsqh9anmj9pr,Nomad Houses Ферма.,nomad-houses-ferma,https://mamago.by/nomad-houses-ferma/,GLOBAL,,MEDIUM,"Travel review of a rural retreat (Nomad Houses Ферма) near Braslav — explicitly not Minsk, a countryside destination article.",MIXED_MINSK_BELARUS,,,
54929,cmssu7pa300cews3fbklsedh6,Как и куда отправить письмо Деду Морозу или Санта Клаусу,kak-i-kuda-otpravit-pismo-dedu-morozu-ili-santa-klausu,https://mamago.by/kak-i-kuda-otpravit-pismo-dedu-morozu-ili-santa-klausu/,GLOBAL,,MEDIUM,"How to send a letter to Santa/Ded Moroz — a general seasonal activity guide with no city dependency, phrased for families of Belarus generally.",MIXED_MINSK_BELARUS,,,
62336,cmssu8iig00m2ws3ffl3j59y8,Куда сходить и чем удивить 14-го февраля: идеи подарков про эмоции на День Валентина до 100 BYN,kuda-shodit-i-chem-udivit-14-go-fevralya-idei-podarkov-pro-emoczii-na-den-valentina-do-100-byn,https://mamago.by/kuda-shodit-i-chem-udivit-14-go-fevralya-idei-podarkov-pro-emoczii-na-den-valentina-do-100-byn/,CITY_MINSK,minsk,MEDIUM,Valentine's Day gift/date ideas naming specific venues; geo signal mixes Минск and Гродно but most named activities appear Minsk-based.,MIXED_MINSK_BELARUS,,,
11112,cmsswraqp00liwsqhoaokts98,Дом Рождества — полное погружение,dom-rozhdestva-polnoe-pogruzhenie,https://mamago.by/dom-rozhdestva-polnoe-pogruzhenie/,CITY_MINSK,minsk,MEDIUM,"Review of the 'Дом Рождества' immersive exhibit at Дворец искусств, a specific Minsk venue.",,,,
11948,cmsswrid700oawsqh7yml3l97,Начало зимних каникул в «Песочнице»,nachalo-zimnih-kanikul-v-pesochnitse,https://mamago.by/nachalo-zimnih-kanikul-v-pesochnitse/,CITY_MINSK,minsk,MEDIUM,"Review of a specific venue at a named Minsk address (Куйбышева, 45).",,,,
12229,cmsswsb1t00wywsqht6xxuiug,Выставка «ЛЕГОУ»: РАЗОБЛАЧЕНИЕ,vystavka-legou-razoblachenie,https://mamago.by/vystavka-legou-razoblachenie/,CITY_MINSK,minsk,MEDIUM,"Review of a specific exhibit at ТРЦ Palazzo, a named Minsk mall.",,,,
12464,cmsswsqxr012ywsqhgvkopqaf,Первый раз в первый класс: где успеть подготовить ребёнка к школе,pervyy-raz-v-pervyy-klass-gde-uspet-podgotovit-rebyonka-k-shkole,https://mamago.by/pervyy-raz-v-pervyy-klass-gde-uspet-podgotovit-rebyonka-k-shkole/,CITY_MINSK,minsk,MEDIUM,Curated list of named school-prep centers with 8 linked Place records; content-relation evidence present though city unresolved by the automated audit.,,,,
13071,cmsswt2ux017qwsqhz5wses40,Где отметить день рождения ребенка 7+ в Минске,gde-otmetit-den-rozhdeniya-rebenka-7,https://mamago.by/gde-otmetit-den-rozhdeniya-rebenka-7/,CITY_MINSK,minsk,MEDIUM,"Title explicitly 'в Минске'; venue listicle, though body is empty in this extract (7 linked Place relations present).",,,,
13194,cmsswtj3d01duwsqhimw0y4w2,Обновленная «Мистерия» — место для всей семьи от 0 до 99,obnovlennaya-misteriya-mesto-dlya-vsey-semi-ot-0-do-99,https://mamago.by/obnovlennaya-misteriya-mesto-dlya-vsey-semi-ot-0-do-99/,CITY_MINSK,minsk,MEDIUM,Review of a specific venue ('Мистерия') that relocated within Minsk (Сухарево).,,,,
14483,cmsswu13u01liwsqhjamwyl34,"Идеи на весну или 27 дел, которые нужно успеть сделать до лета",27-del-vesny,https://mamago.by/27-del-vesny/,GLOBAL,,MEDIUM,"General springtime bucket-list ideas (evening city walk, park reading); broadly applicable, though one item namechecks a specific museum.",,,,
15608,cmsswu5wk01newsqh69kkoqht,Детские лагеря 2024 на весенних каникулах,vesennie-lagerya,https://mamago.by/vesennie-lagerya/,CITY_MINSK,minsk,MEDIUM,Spring break camps listicle naming a Minsk-branded program ('Научный Минск') and city/country options explicitly.,,,,
18570,cmsswvfqu022awsqhrbqfrzrv,Детские летние лагеря 2024 городские,detskie-lagerya-2024-gorodskie,https://mamago.by/detskie-lagerya-2024-gorodskie/,CITY_MINSK,minsk,MEDIUM,Summer camps listicle naming '5 филиалах Минска' (5 Minsk branches) explicitly for the flagship camp.,,,,
22774,cmsswzg3803kiwsqh04el0jlc,Кукурузный лабиринт «Кукуполис»: когда открытие?,kukuruznyj-labirint-kukupolis-kogda-otkrytie,https://mamago.by/kukuruznyj-labirint-kukupolis-kogda-otkrytie/,CITY_MINSK,minsk,MEDIUM,Review of a specific seasonal attraction (corn maze); location context implies a specific local venue though not named explicitly in this excerpt.,,,,
23778,cmsswzpr803oawsqhh53h8v0a,Как отметить детский день рождения летом?,kak-otmetit-detskiy-den-rozhdeniya-letom,https://mamago.by/kak-otmetit-detskiy-den-rozhdeniya-letom/,CITY_MINSK,minsk,MEDIUM,Personal birthday review of a specific venue (aquazone at cafe 'Птичь').,,,,
24774,cmssu15a400egwsobvqmhhrkn,Тае 10 лет: как отметить и сколько стоит день рождения ребёнка анлим,tae-10-let-kak-otmetit-i-skolko-stoit-den-rozhdenija-rebjonka-anlim,https://mamago.by/tae-10-let-kak-otmetit-i-skolko-stoit-den-rozhdenija-rebjonka-anlim/,CITY_MINSK,minsk,MEDIUM,"Personal birthday story centered on a specific real venue (Astoria), but framed as a family anecdote rather than a guide.",,,,
25431,cmsswzz4d03sywsqh5rs3lfwy,МОДНЫЙ КВАРТАЛ: подготовка ребенка к школе бюджетно,modnyy-kvartal-podgotovka-rebenka-k-shkole-byudzhetno,https://mamago.by/modnyy-kvartal-podgotovka-rebenka-k-shkole-byudzhetno/,CITY_MINSK,minsk,MEDIUM,Back-to-school shopping guide naming a specific Minsk shopping area (Ждановичи); body text is partially corrupted/truncated with tracking metadata.,,,,
48659,cmssx1p8904f2wsqhhbw2fdtr,"«Птичий дом» в Зеленой гавани: первый детский сад в жилом комплексе, где природа встречает детство",ptichij-dom-v-zelenoj-gavani-pervyj-detskij-sad-v-zhilom-komplekse-gde-priroda-vstrechaet-detstvo,https://mamago.by/ptichij-dom-v-zelenoj-gavani-pervyj-detskij-sad-v-zhilom-komplekse-gde-priroda-vstrechaet-detstvo/,CITY_MINSK,minsk,MEDIUM,"Review of a specific new kindergarten in a named residential development ('Зеленая гавань'), a Minsk-area complex matching similar articles in this corpus.",,,,
51073,cmssx2llr04rywsqhj08lx5jk,Что подарить на День матери: идеи от команды MamaGo и блогеров,chto-podarit-na-den-materi-idei-ot-komandy-mamago-i-blogerov,https://mamago.by/chto-podarit-na-den-materi-idei-ot-komandy-mamago-i-blogerov/,GLOBAL,,MEDIUM,"Generic Mother's Day gift ideas from the team/bloggers; no venue dependency evident, general listicle format.",,,,
51263,cmssx2phv04tawsqhrbft1ssa,Чем заняться на осенних каникулах,chem-zanyatsya-na-osennih-kanikulah,https://mamago.by/chem-zanyatsya-na-osennih-kanikulah/,CITY_MINSK,minsk,MEDIUM,"Autumn break activities naming specific venues (Неон Парк, ЖК Маяк Минска, ТЦ Червенский) — Minsk-based venue routes, though body excerpt is truncated.",,,,
56250,cmssu7ry000diws3f9p1cp9cy,Чем заняться на зимних каникулах,chem-zanyatsya-na-novogodnih-kanikulah,https://mamago.by/chem-zanyatsya-na-novogodnih-kanikulah/,CITY_MINSK,minsk,MEDIUM,"Winter break activity listing named local venues (Aktivdeti.by, Экопарк Акварель) in/near Minsk (Ratomka, Marina Gorka); empty body limits full assessment.",,,,
58101,cmssu82wi00hews3fi1h5pivw,Создательница Las Legas и Photohub Надежда Соловьева,sozdatelnicza-las-legas-i-photohub-nadezhda-soloveva,https://mamago.by/sozdatelnicza-las-legas-i-photohub-nadezhda-soloveva/,CITY_MINSK,minsk,MEDIUM,"Profile of a Minsk-based entrepreneur (Las Legas, PhotoHub — well-known Minsk businesses she founded); content centers on her local ventures.",,,,
63859,cmssu8tca00pyws3f7mk6fons,Девичник: идеи для мероприятия в женской компании или девочкового дня рождения ,devichnik-idei-dlya-meropriyatiya-v-zhenskoj-kompanii-ili-devochkovogo-dnya-rozhdeniya,https://mamago.by/devichnik-idei-dlya-meropriyatiya-v-zhenskoj-kompanii-ili-devochkovogo-dnya-rozhdeniya/,GLOBAL,,MEDIUM,"General ideas for a girls'-night gathering (games, conversation topics); no venue dependency evident in the excerpt.",,,,
21537,cmsswy95w034ywsqhtdtya6t4,ТОП-18 кафе и ресторанов с детской площадкой или комнатой,top-18-kafe-i-restoranov-s-detskoy-ploshchadkoy-ili-komnatoy,https://mamago.by/top-18-kafe-i-restoranov-s-detskoj-ploshhadkoj-ili-komnatoj/,CITY_MINSK,minsk,HIGH,Title scoped 'в пределах Минска и до 10 км от него' explicitly; restaurant listicle with named venues.,SOFT_SLUG_MISMATCH,,,
21932,cmsswyqze03amwsqhrkm0afc6,10 парков для активного отдыха и развлечений в Минске,10-parkov-dlja-aktivnogo-otdyha-i-razvlechenij-v-minske,https://mamago.by/10-parkov-dlya-aktivnogo-otdyha-i-razvlecheniy-v-minske/,CITY_MINSK,minsk,HIGH,Title explicitly 'в Минске'; named park listicle.,SOFT_SLUG_MISMATCH,,,
22603,cmsswz6a903fywsqhejbhg6gu,Любимые детские клубы-кофейни и игровые Минска,ljubimye-detskie-kluby-kofejni-i-igrovye-minska,https://mamago.by/lyubimye-detskie-kluby-kofeyni-i-igrovye-minska/,CITY_MINSK,minsk,HIGH,Title explicitly 'Минска'; named kids' cafe/club listicle.,SOFT_SLUG_MISMATCH,,,
24695,cmssu0ow1007cwsobcv282mvt,"Творческие, музыкальные и языковые кружки и секции для детей в Минске",tvorcheskie-muzykalnye-i-jazykovye-kruzhki-i-sekcii-dlja-detej-v-minske,https://mamago.by/tvorcheskie-muzykalnye-i-yazykovye-kruzhki-i-sekcii-dlya-detey-v-minske/,CITY_MINSK,minsk,HIGH,"Curated list of real, named Minsk children's clubs/studios; title also explicitly says Минск.",SOFT_SLUG_MISMATCH,,,
27355,cmssu26ev00wcwsobwpy1glg0,4.8 млн.$ за первый детский сад «Северного берега» ,4-8-mln-za-pervyj-detskij-sad-severnogo-berega,https://mamago.by/pervyy-detskiy-sad-severnogo-berega/,CITY_MINSK,minsk,HIGH,"News about a new kindergarten in Severny Bereg, a specific Minsk development.",SOFT_SLUG_MISMATCH,,,
30642,cmssu2p6p013swsob5sfq3dhv,"«Мама, я сам. Ферма» — лучшее место для всей семьи",mama-ja-sam-ferma-luchshee-mesto-dlja-vsej-semi,https://mamago.by/mama-ya-sam-ferma/,CITY_MINSK,minsk,HIGH,Opening announcement for a specific named venue in Lebyazhy (Minsk area).,SOFT_SLUG_MISMATCH,,,
31021,cmssu30ek019kwsobf832vz78,Где отметить день рождения в крытом парке: 10 классных парков развлечений для праздника,gde-otmetit-den-rozhdenija-v-krytom-parke-10-klassnyh-parkov-razvlechenij-dlja-prazdnika,https://mamago.by/gde-otmetit-den-rozhdeniya-v-krytom-parke-10-klassnyh-parkov-razvlecheniy-dlya-prazdnika/,CITY_MINSK,minsk,HIGH,"Listicle of ten specific named entertainment parks that recur across this corpus as known Minsk venues, despite no city name in the title.",SOFT_SLUG_MISMATCH,,,
34363,cmssu3til01k0wsobe87c51bg,Новогодние фотозоны Минска 2025/2026,novogodnie-fotozony-minska-40-fotozon-i-40-idej-pochemu-stoit-tuda-shodit,https://mamago.by/novogodnie-fotozony-minska-40-fotozon-i-40-idey-pochemu-stoit-tuda-shodit/,CITY_MINSK,minsk,HIGH,Title 'Новогодние фотозоны Минска' explicitly names Minsk; listicle of specific named local photo spots.,SOFT_SLUG_MISMATCH,,,
9704,cmssu0kfb005owsobdje0rwcr,«Гранд Бублик» - просто ожившая усадьба Гэтсби и отель Гранд Будапешт.,grand-bublik-prosto-ozhivshaja-usadba-gjetsbi-i-otel-grand-budapesht,https://mamago.by/grand-bublik-prosto-ozhivshaja-usadba-gjetsbi-i-otel-grand-budapesht/,CITY_MINSK,minsk,HIGH,"Review of one specific venue (Гранд Бублик, Братская 6А, ЖК Минск-Мир) with prices and address — the content is the venue itself.",,,,
11776,cmsswrc3b00m6wsqhk5yrc4fb,Новогодний маршрут семейной прогулки,novogodnij-marshrut-semejnoj-progulki,https://mamago.by/novogodnij-marshrut-semejnoj-progulki/,CITY_MINSK,minsk,HIGH,"Explicit walking route through named central Minsk landmarks (Парк Горького, Октябрьская площадь) for the holidays.",,,,
12106,cmsswro2g00q6wsqhp1n8hkfa,Где провести семейную фотосессию?,gde-provesti-semejnuyu-fotosessiyu,https://mamago.by/gde-provesti-semejnuyu-fotosessiyu/,CITY_MINSK,minsk,HIGH,"Listicle of specific named Minsk shopping malls (Galileo, Galleria, Palazzo, Титан, Dana Mall) for holiday photos.",,,,
12348,cmsswsfiu00yuwsqhjrizi1gn,Нормально нереально: куда пойти за новыми ощущениями в Минске — «Мир иллюзий»,normalno-nerealno-kuda-poyti-za-novymi-oshchushcheniyami-v-minske,https://mamago.by/normalno-nerealno-kuda-poyti-za-novymi-oshchushcheniyami-v-minske/,CITY_MINSK,minsk,HIGH,Title explicitly 'в Минске'; review of a specific exhibit venue ('Мир иллюзий').,,,,
12372,cmsswsigr00zywsqheb11n5fc,MiMiLand: как мы выигрывали огромного Ститча за 10 руб,mi-mi-land-kak-my-vyigryvali-ogromnogo-stitcha-za-10-rub,https://mamago.by/mi-mi-land-kak-my-vyigryvali-ogromnogo-stitcha-za-10-rub/,CITY_MINSK,minsk,HIGH,Review of a specific venue (Mi Mi Land) at a named Minsk mall (ТРЦ Palazzo); explicitly notes 'в Минске аналогов пока нет'.,,,,
12392,cmsswskgb010qwsqhjlfnon3t,"«Мама, ЯСам» — в Минске открылась огромная крытая песочница со спецтехникой",kuda-otvesti-malchishek-otkrylas-pervaya-v-minske-ogromnaya-krytaya-pesochnica-so-spectehnikoy-mama-ya-sam,https://mamago.by/kuda-otvesti-malchishek-otkrylas-pervaya-v-minske-ogromnaya-krytaya-pesochnica-so-spectehnikoy-mama-ya-sam/,CITY_MINSK,minsk,HIGH,Title explicitly 'в Минске'; review of a specific new venue.,,,,
12637,cmsswstor013ywsqhvc4c483k,Самый большой выбор сырников в Минске,samyy-bolshoy-vybor-syrnikov-v-minske,https://mamago.by/samyy-bolshoy-vybor-syrnikov-v-minske/,CITY_MINSK,minsk,HIGH,Title explicitly 'в Минске'; review of one specific cafe in central Minsk.,,,,
12841,cmsswsvgp014qwsqhs5pp0zne,Как организовать детский день рождения дома без карты рассрочки и продажи почки?,kak-organizovat-detskiy-den-rozhdeniya-doma-bez-karty-rassrochki-i-prodazhi-pochki,https://mamago.by/kak-organizovat-detskiy-den-rozhdeniya-doma-bez-karty-rassrochki-i-prodazhi-pochki/,GLOBAL,,HIGH,"General DIY birthday party ideas that work anywhere (concert-at-home, scavenger hunt, cooking party); no venue dependency.",,,,
12891,cmsswswwu015ewsqhu8y7n4ad,Где маме спокойно попить кофе: новые игровые Минска,gde-mame-spokoyno-popit-kofe-novye-igrovye-minska,https://mamago.by/gde-mame-spokoyno-popit-kofe-novye-igrovye-minska/,CITY_MINSK,minsk,HIGH,Title explicitly 'Минска'; curated list of named local kids' cafes/clubs.,,,,
12957,cmsswt0u4016qwsqhxh8gp8w0,Как выбирают семейный отдых разные знаки зодиака,kak-vybirayut-semeynyy-otdyh-raznye-znaki-zodiaka,https://mamago.by/kak-vybirayut-semeynyy-otdyh-raznye-znaki-zodiaka/,GLOBAL,,HIGH,Astrology-themed listicle about how each zodiac sign vacations; no venue or city dependency.,,,,
12964,cmsswt158016ywsqhch49nwrw,Где подают трендовых котиков из TikTok,gde-podayut-trendovyh-kotikov-iz-tiktok,https://mamago.by/gde-podayut-trendovyh-kotikov-iz-tiktok/,CITY_MINSK,minsk,HIGH,Review of one specific named venue (Шедевры вкуса) at a named Minsk address (Победителей 133).,,,,
13429,cmsswtttp01i6wsqh3jxf0vvb,Новый Hero Park на Академии наук или батуты для малышей,novyy-hero-park-na-akademii-nauk-ili-batuty-dlya-malyshey,https://mamago.by/novyy-hero-park-na-akademii-nauk-ili-batuty-dlya-malyshey/,CITY_MINSK,minsk,HIGH,"Review of a specific venue (Hero Park) at named Minsk addresses (Сурганова, Дзержинского).",,,,
